2025-02-06 10:51:37,772 - ERROR - Ping error for 10.0.2.5: Command '['ping', '-c', '1', '10.0.2.5']' timed out after 2 seconds
2025-02-06 10:51:37,773 - ERROR - Ping error for 10.0.2.1: Command '['ping', '-c', '1', '10.0.2.1']' timed out after 2 seconds
2025-02-06 10:51:37,778 - ERROR - Ping error for 10.0.2.8: Command '['ping', '-c', '1', '10.0.2.8']' timed out after 2 seconds
2025-02-06 10:51:37,779 - ERROR - Ping error for 10.0.2.7: Command '['ping', '-c', '1', '10.0.2.7']' timed out after 2 seconds
2025-02-06 10:51:37,780 - ERROR - Ping error for 10.0.2.6: Command '['ping', '-c', '1', '10.0.2.6']' timed out after 2 seconds
2025-02-06 10:51:37,783 - ERROR - Ping error for 10.0.2.10: Command '['ping', '-c', '1', '10.0.2.10']' timed out after 2 seconds
2025-02-06 10:51:37,802 - ERROR - Ping error for 10.0.2.15: Command '['ping', '-c', '1', '10.0.2.15']' timed out after 2 seconds
2025-02-06 10:51:37,805 - ERROR - Ping error for 10.0.2.9: Command '['ping', '-c', '1', '10.0.2.9']' timed out after 2 seconds
2025-02-06 10:51:37,806 - ERROR - Ping error for 10.0.2.16: Command '['ping', '-c', '1', '10.0.2.16']' timed out after 2 seconds
2025-02-06 10:51:37,807 - ERROR - Ping error for 10.0.2.12: Command '['ping', '-c', '1', '10.0.2.12']' timed out after 2 seconds
2025-02-06 10:51:37,808 - ERROR - Ping error for 10.0.2.14: Command '['ping', '-c', '1', '10.0.2.14']' timed out after 2 seconds
2025-02-06 10:51:37,815 - ERROR - Ping error for 10.0.2.20: Command '['ping', '-c', '1', '10.0.2.20']' timed out after 2 seconds
2025-02-06 10:51:37,816 - ERROR - Ping error for 10.0.2.21: Command '['ping', '-c', '1', '10.0.2.21']' timed out after 2 seconds
2025-02-06 10:51:37,816 - ERROR - Ping error for 10.0.2.18: Command '['ping', '-c', '1', '10.0.2.18']' timed out after 2 seconds
2025-02-06 10:51:37,822 - ERROR - Ping error for 10.0.2.22: Command '['ping', '-c', '1', '10.0.2.22']' timed out after 2 seconds
2025-02-06 10:51:37,822 - ERROR - Ping error for 10.0.2.23: Command '['ping', '-c', '1', '10.0.2.23']' timed out after 2 seconds
2025-02-06 10:51:37,823 - ERROR - Ping error for 10.0.2.19: Command '['ping', '-c', '1', '10.0.2.19']' timed out after 2 seconds
2025-02-06 10:51:37,823 - ERROR - Ping error for 10.0.2.24: Command '['ping', '-c', '1', '10.0.2.24']' timed out after 2 seconds
2025-02-06 10:51:37,832 - ERROR - Ping error for 10.0.2.25: Command '['ping', '-c', '1', '10.0.2.25']' timed out after 2 seconds
2025-02-06 10:51:37,838 - ERROR - Ping error for 10.0.2.26: Command '['ping', '-c', '1', '10.0.2.26']' timed out after 2 seconds
2025-02-06 10:51:37,838 - ERROR - Ping error for 10.0.2.29: Command '['ping', '-c', '1', '10.0.2.29']' timed out after 2 seconds
2025-02-06 10:51:37,840 - ERROR - Ping error for 10.0.2.30: Command '['ping', '-c', '1', '10.0.2.30']' timed out after 2 seconds
2025-02-06 10:51:37,851 - ERROR - Ping error for 10.0.2.13: Command '['ping', '-c', '1', '10.0.2.13']' timed out after 2 seconds
2025-02-06 10:51:37,851 - ERROR - Ping error for 10.0.2.11: Command '['ping', '-c', '1', '10.0.2.11']' timed out after 2 seconds
2025-02-06 10:51:37,853 - ERROR - Ping error for 10.0.2.31: Command '['ping', '-c', '1', '10.0.2.31']' timed out after 2 seconds
2025-02-06 10:51:37,854 - ERROR - Ping error for 10.0.2.33: Command '['ping', '-c', '1', '10.0.2.33']' timed out after 2 seconds
2025-02-06 10:51:37,860 - ERROR - Ping error for 10.0.2.32: Command '['ping', '-c', '1', '10.0.2.32']' timed out after 2 seconds
2025-02-06 10:51:37,861 - ERROR - Ping error for 10.0.2.34: Command '['ping', '-c', '1', '10.0.2.34']' timed out after 2 seconds
2025-02-06 10:51:37,871 - ERROR - Ping error for 10.0.2.39: Command '['ping', '-c', '1', '10.0.2.39']' timed out after 2 seconds
2025-02-06 10:51:37,879 - ERROR - Ping error for 10.0.2.27: Command '['ping', '-c', '1', '10.0.2.27']' timed out after 2 seconds
2025-02-06 10:51:37,907 - ERROR - Ping error for 10.0.2.48: Command '['ping', '-c', '1', '10.0.2.48']' timed out after 2 seconds
